cat_id;name
110;U18 Fighting Women -44 kg
111;U18 Fighting Women -48 kg
112;U18 Fighting Women -52 kg
113;U18 Fighting Women -57 kg
114;U18 Fighting Women -63 kg
115;U18 Fighting Women -70 kg
116;U18 Fighting Women +70 kg
258;U21 Fighting Women +70 kg
254;U21 Fighting Women -49 kg
255;U21 Fighting Women -55 kg
256;U21 Fighting Women -62 kg
257;U21 Fighting Women -70 kg
825;U21 Jiu-Jitsu Men -56 kg
826;U21 Jiu-Jitsu Men -62 kg
828;U21 Jiu-Jitsu Men -69 kg
827;U21 Jiu-Jitsu Men -77 kg
829;U21 Jiu-Jitsu Men -85 kg
830;U21 Jiu-Jitsu Men -94 kg
823;U21 Jiu-Jitsu Men +94 kg
843;U21 Jiu-Jitsu Women -49 kg
842;U21 Jiu-Jitsu Women -55 kg
841;U21 Jiu-Jitsu Women -62 kg
840;U21 Jiu-Jitsu Women -70 kg
832;U18 Jiu-Jitsu Women -40 kg
833;U18 Jiu-Jitsu Women -44 kg
834;U18 Jiu-Jitsu Women -48 kg
835;U18 Jiu-Jitsu Women -52 kg
836;U18 Jiu-Jitsu Women -57 kg
837;U18 Jiu-Jitsu Women -63 kg
838;U18 Jiu-Jitsu Women -70 kg
831;U18 Jiu-Jitsu Women +70 kg
816;U18 Jiu-Jitsu Men -50 kg
817;U18 Jiu-Jitsu Men -55 kg
818;U18 Jiu-Jitsu Men -60 kg
819;U18 Jiu-Jitsu Men -66 kg
820;U18 Jiu-Jitsu Men -73 kg
821;U18 Jiu-Jitsu Men -81 kg
814;U18 Jiu-Jitsu Men +81 kg
248;U21 Fighting Men -56 kg
259;U21 Fighting Men -62 kg
249;U21 Fighting Men -69 kg
250;U21 Fighting Men -77 kg
251;U21 Fighting Men -85 kg
252;U21 Fighting Men -94 kg
253;U21 Fighting Men +94 kg
839;U21 Jiu-Jitsu Women +70 kg
476;Adults Contact Ju-Jitsu Men +94 Kg
472;Adults Contact Ju-Jitsu Men -69 Kg
478;Adults Contact Ju-Jitsu Women -55 Kg
760;U10 Fighting Men +42kg
678;U12 Fighting Men +50 kg
924;U12 Fighting Men -34 kg
920;U12 Fighting Men -34 kg
673;U12 Fighting Men -38 kg
674;U12 Fighting Men -42 kg
675;U12 Fighting Men -46 kg
676;U12 Fighting Men -50 kg
;U12 Fighting Women -25 kg
;U12 Fighting Women -28 kg
922;U12 Fighting Women -32 kg
682;U12 Fighting Women -36 kg
683;U12 Fighting Women -40 kg
684;U12 Fighting Women -44 kg
685;U12 Fighting Women -48 kg
686;U12 Fighting Women +48 kg
